,Address,Property Type,Price,Beds,Bath,Square Feet,Brokerages,Borough,Zipcode,Neighborhood,Longitude,Latitude
87,"8200 Narrows AveBrooklyn, NY 11209",House ,8750000.0,6,6.0,2184.207862, BROWN HARRIS STEVENS BROOKLYN LLC,Brooklyn,11209.0,Southwest Brooklyn,-74.0379695,40.6282935
88,"1509 E 48th StBrooklyn, NY 11234",House ,595000.0,3,1.0,1316.0," Tom Marco Real Estate, Inc.",Brooklyn,11234.0,Canarsie,-73.9291226,40.6239146
89,"195 Prince St Unit 1LLNew York, NY 10012",Condo ,215000.0,1,1.0,625.0, Engel & Volkers Brownstone Brooklyn,Manhattan,10012.0,Soho,-74.002538,40.7267732
90,"The Rockwell # 3ANew York, NY 10025",For sale,950000.0,1,1.0,621.0, Toll Brothers,Manhattan,10025.0,Upper East Side,-73.9679035,40.7986579
91,"850 E 39th StBrooklyn, NY 11210",House ,314000.0,3,1.0,1572.0, Sowae Corp,Brooklyn,11210.0,Flatbush,-73.939679,40.6362368
92,"110 E 71st St Unit MedicalManhattan, NY 10021",Condo ,395000.0,5,1.0,1000.0, Brown Harris Stevens,Manhattan,10021.0,Upper East Side,-73.9638872,40.7700395
93,"1406 Mac Donough PlBronx, NY 10465",Multi-family home ,600000.0,2,2.0,2184.207862, Prospes Real Estate Corp,Bronx,10465.0,Southeast Bronx,-73.8249591,40.8429545
94,"78 Mountainview AveStaten Island, NY 10314",Multi-family home ,790000.0,6,3.0,2520.0, Exp Realty,Staten Island,10314.0,Mid Island,-74.1268175,40.6105856
95,"9425 Shore Rd Apt 4FBrooklyn, NY 11209",Co-op ,539000.0,2,2.0,1100.0, STROFFOLINO REALTY LLC,Brooklyn,11209.0,Southwest Brooklyn,-74.0383836,40.6170731
96,"2501 Palisade Ave Apt H2Bronx, NY 10463",Co-op ,1295000.0,4,2.0,1995.0, Douglas Elliman ,Bronx,10463.0,Riverdale,-73.9224337,40.8809873
97,"2942 Lurting AveBronx, NY 10469",House ,245000.0,3,1.0,2184.207862, Sowae Corp,Bronx,10469.0,Northeast Bronx,-73.8564445,40.8690109
98,"340 E 234th StBronx, NY 10470",House ,400000.0,7,3.0,2385.0, Americas Real Estate Advisors,Bronx,10470.0,Northeast Bronx,-73.8654984,40.8969146
99,"25 Riverside DrNew York, NY 10023",House ,55000000.0,8,8.0,12000.0, Douglas Elliman ,Manhattan,10023.0,Upper East Side,-73.9846322,40.782238
100,"8015 6th Ave Apt A1Brooklyn, NY 11209",Co-op ,280000.0,1,1.0,1000.0, Brown Harris Stevens,Brooklyn,11209.0,Southwest Brooklyn,-74.0216837,40.6241766
101,"40 Adelphi AveStaten Island, NY 10309",House ,899000.0,3,2.0,1440.0, Top Choice Realty LLC,Staten Island,10309.0,South Shore,-74.2314825,40.5159004
102,"The Rockwell # 6ENew York, NY 10025",For sale,2280000.0,2,2.0,1400.0, Toll Brothers,Manhattan,10025.0,Upper East Side,-73.9679035,40.7986579
103,"194 Carroll StBrooklyn, NY 11231",Coming Soon,649000.0,4,3.0,2184.207862, Cross Country Realty,Brooklyn,11231.0,Northwest Brooklyn,-73.9981509,40.6813429
104,"38 Dare CtBrooklyn, NY 11229",Pending,739000.0,6,4.0,2184.207862, Charles Rutenberg Realty Inc,Brooklyn,11229.0,South Brooklyn,-73.9216187,40.5877991
105,"31 4th CtStaten Island, NY 10312",House ,1495000.0,4,2.5,3000.0, AmeriHomes Realty,Staten Island,10312.0,South Shore,-74.1681035,40.5247627
106,"591 4th StBrooklyn, NY 11215",House ,3950000.0,5,2.0,3528.0, Douglas Elliman ,Brooklyn,11215.0,Northwest Brooklyn,-73.9748375,40.6680619
107,"122 E 102nd St Apt 5BNew York, NY 10029",Condo ,325000.0,2,1.0,979.0, Avenues ,Manhattan,10029.0,East Harlem,-73.9487257,40.7897507
108,"215 W 75th St Apt 4DNew York, NY 10023",Pending,299999.0,3,1.0,2184.207862, Corcoran,Manhattan,10023.0,Upper East Side,-73.9808407,40.7810583
109,"327 Convent AveNew York, NY 10031",Townhouse ,2695000.0,6,5.0,4720.0, Sotheby's International Realty ,Manhattan,10031.0,Washington Heights,-73.9467514,40.8235127
111,"364 Armstrong AveStaten Island, NY 10308",House ,694000.0,3,3.0,1360.0, Compass Realty Central Inc.,Staten Island,10308.0,South Shore,-74.1555672,40.5423126
112,"761 S Oak DrBronx, NY 10467",House ,688888.0,4,2.0,2846.0, Douglas Elliman ,Bronx,10467.0,Fordham,-73.8651768,40.8726182
113,"781 Sheperd AveBrooklyn, NY 11208",House ,400000.0,4,2.0,1980.0, Sowae Corp,Brooklyn,11208.0,East New York,-73.8770867,40.665357
114,"103-12 104th StOzone Park, NY 11417",Multi-family home ,346000.0,5,2.0,2184.207862, Sowae Corp,Queens,11417.0,nan,-73.8381042,40.6837891
117,"135-38 224th StSpringfield Gardens, NY 11413",House ,265000.0,3,1.0,2184.207862, Sowae Corp,Queens,11413.0,Southwest Queens,-73.7472571,40.67538
118,"57 Neutral AveStaten Island, NY 10306",House ,319000.0,3,2.0,1224.0, Winzone Realty Inc,Staten Island,10306.0,South Shore,-74.1018925,40.5604695
119,"45 E 74th StNew York, NY 10021",Townhouse ,24800000.0,6,8.0,2184.207862, Corcoran,Manhattan,10021.0,Upper East Side,-73.9635462,40.772929
120,"421 W 154th StNew York, NY 10032",House ,1100000.0,9,4.0,3276.0, Exp Realty,Manhattan,10032.0,Washington Heights,-73.9424229,40.8307115
121,"2918 Brookhaven AveFar Rockaway, NY 11691",Multi-family home ,309000.0,6,2.0,2184.207862, Sowae Corp,Queens,11691.0,Rockaway,-73.7632649,40.5980695
122,"237-14 93rd RdBellerose, NY 11426",House ,650000.0,3,2.0,1522.0, Keller Williams,Queens,11426.0,Southwest Queens,-73.7293286,40.723245
123,"604 Lamont AveStaten Island, NY 10312",House ,799000.0,4,2.0,1975.0, Rise Realty,Staten Island,10312.0,South Shore,-74.193378,40.5387812
